category,name,price,original_price,stock_status,url
Processor,AMD Ryzen 9 9950X3D2 Dual Edition Desktop Processor With Radeon Graphics,98400.0,110000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-9-9950x3d2-dual-edition-desktop-processor/
Processor,Amd Ryzen Threadripper 7970X Oem Open Desktop Processor (100-000001351),250500.0,399999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-7970x-oem-open-desktop-processor/
Processor,AMD Ryzen Threadripper 9960X Workstation Processor Tray 100-100001595,154500.0,250000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-9960x-workstation-processor/
Processor,AMD Ryzen Threadripper 9970X Workstation Processor (100-100001594),258400.0,500000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-9970x-workstation-processor/
Processor,AMD Ryzen Threadripper 9980X Workstation Processor Tray(100-100001593),518800.0,900000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-9980x-workstation-processor-tray/
Processor,Amd Ryzen Threadripper Pro 7965WX Oem Open Desktop Processor (100-100000885),266900.0,399999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-pro-7965wx-oem-open-desktop-processor/
Processor,Amd Ryzen Threadripper Pro 7975WX Oem Open Desktop Processor (100-100000453),388100.0,499999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-pro-7975wx-oem-open-desktop-processor/
Processor,Amd Ryzen Threadripper Pro 7985WX Oem Open Desktop Processor (100-100000454),706000.0,999999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-pro-7985wx-oem-open-desktop-processor/
Processor,Amd Ryzen Threadripper Pro 7995WX Oem Open Desktop Processor (100-100000884),985000.0,1539999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-pro-7995wx-oem-open-desktop-processor/
Processor,AMD Ryzen Threadripper Pro 9955WX Workstation Processor Tray(100-100000725),168900.0,300000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-pro-9955wx-workstation-processor-tray/
Processor,AMD Ryzen Threadripper Pro 9965WX Workstation Processor Tray(100-100000724),298000.0,500000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-pro-9965wx-workstation-processor-tray/
Processor,AMD Ryzen Threadripper Pro 9975WX Workstation Processor Tray(100-100000723),424500.0,800000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-pro-9975wx-workstaion-processor-tray/
Processor,AMD Ryzen Threadripper Pro 9985WX Workstation Processor Tray(100-000000722),828000.0,1200000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-pro-9985wx-workstation-processor-tray/
Processor,AMD Ryzen Threadripper Pro 9995WX Workstation Processor Tray (100-100001361),1214600.0,1950000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-threadripper-pro-9995wx-workstation-processor-tray/
Processor,Intel 10Th Gen Comet Lake Core I5-10400F Processor (BX8070110400F),10480.0,12000.0,In Stock,https://www.pcstudio.in/product/intel-10th-gen-comet-lake-core-i5-10400f-processor/
Processor,Intel Core I3-12100 Desktop Processor (BX8071512100),18000.0,19000.0,In Stock,https://www.pcstudio.in/product/intel-core-i3-12100-desktop-processor-12m-cache-up-to-4-30-ghz/
Processor,"Intel Core I3-12100F Desktop Processor (12M Cache, Up To 4.30Ghz) (BX8071512100F)",13300.0,15000.0,In Stock,https://www.pcstudio.in/product/intel-core-i3-12100f-desktop-processor-12m-cache-up-to-4-30ghz/
Processor,Intel Core i3-14100 Desktop Processor (BX8071514100),18500.0,20250.0,In Stock,https://www.pcstudio.in/product/intel-core-i3-14100-desktop-processor/
Processor,Intel Core i3-14100F Desktop Processor (BX8071514100F),11760.0,15400.0,In Stock,https://www.pcstudio.in/product/intel-core-i3-14100f-desktop-processor/
Processor,Intel Core i5 14600K 14th Gen Desktop Processor (BX8071514600K),33500.0,45000.0,In Stock,https://www.pcstudio.in/product/intel-core-i5-14600k-14th-gen-desktop-processor/
Processor,Intel Core I5-10400 10Th Generation Processor (BX8070110400),15000.0,19499.0,In Stock,https://www.pcstudio.in/product/intel-core-i5-10400-10th-generation-processor/
Processor,"Intel Core i5-12400 Desktop Processor (Cores 6, Threads 12, Up to 4.40 GHz, 18M Cache)",21350.0,24000.0,In Stock,https://www.pcstudio.in/product/intel-core-i5-12400-12th-gen-alder-lake-processor/
Processor,Intel Core i5-12400F Processor,15750.0,18000.0,In Stock,https://www.pcstudio.in/product/intel-core-i5-12400f-processor/
Processor,"Intel Core i5-12600K 12th Generation (10 Cores, 16 Threads, 4.90GHz) Desktop Processor",27900.0,36540.0,In Stock,https://www.pcstudio.in/product/intel-core-i5-12600k-12th-gen-alder-lake-processor/
Processor,Intel Core i5-14400 Desktop Processor (i5-14400),26000.0,30300.0,In Stock,https://www.pcstudio.in/product/intel-core-i5-14400-desktop-processor/
Processor,Intel Core i5-14400F Desktop Processor (BX8071514400F),16550.0,26900.0,In Stock,https://www.pcstudio.in/product/intel-core-i5-14400f-desktop-processor/
Processor,Intel Core i7 14700K 14th Gen Desktop Processor (BX8071514700K),47000.0,65000.0,In Stock,https://www.pcstudio.in/product/intel-core-i7-14700k-14th-gen-desktop-processor/
Processor,Intel Core i7 14700KF 14th Gen Desktop Processor,45700.0,55000.0,In Stock,https://www.pcstudio.in/product/intel-core-i7-14700kf-14th-gen-desktop-processor/
Processor,Intel Core I7-12700 12Th Generation Processor ( Up to 4.90Ghz / 12 Cores / 20 Threads ),32500.0,51000.0,In Stock,https://www.pcstudio.in/product/intel-core-i7-12700-12th-gen-alder-lake-processor/
Processor,"Intel Core I7-12700F 12Th Gen Desktop Processor (25M Cache, Up To 4.90Ghz) (BX8071512700F)",30200.0,48000.0,In Stock,https://www.pcstudio.in/product/intel-core-i7-12700f-12th-gen-desktop-processor-25m-cache-up-to-4-90ghz/
Processor,Intel Core I7-12700K 12Th Gen Alder Lake Processor (BX8071512700K),30450.0,52940.0,In Stock,https://www.pcstudio.in/product/intel-core-i7-12700k-12th-gen-alder-lake-processor/
Processor,Intel Core i7-14700 Desktop Processor (i7-14700),46000.0,49999.0,In Stock,https://www.pcstudio.in/product/intel-core-i7-14700-desktop-processor/
Processor,Intel Core i7-14700F Desktop Processor (i7-14700F),37990.0,49999.0,In Stock,https://www.pcstudio.in/product/intel-core-i7-14700f-desktop-processor/
Processor,Intel Core i9 14900K Desktop Processor,55200.0,85000.0,In Stock,https://www.pcstudio.in/product/intel-core-i9-14900k-14th-gen-desktop-processor/
Processor,Intel Core I9 14900KS 14th Gen Desktop Processor (i9-14900KS),64500.0,90200.0,In Stock,https://www.pcstudio.in/product/intel-core-i9-14900ks-14th-gen-desktop-processor/
Processor,"Intel Core Ultra 5 225 Desktop Processor (20M Cache, Up to 4.90 GHz)",17200.0,22900.0,In Stock,https://www.pcstudio.in/product/intel-core-ultra-5-225-desktop-processor-20m-cache-up-to-4-90-ghz/
Processor,"Intel Core Ultra 5 225F Desktop Processor (20M Cache, Up to 4.90 GHz)",14990.0,20900.0,In Stock,https://www.pcstudio.in/product/intel-core-ultra-5-225f-desktop-processor-20m-cache-up-to-4-90-ghz/
